,close,high,low,next_open,standard_volume
MSFT,-2.298045295306772,0.1310487571364538,-2.6350298541209516,-2.0874317314533153,0.4974798387929849
SAVE,-1.479289974219189,1.7159817874159211,-2.130169888336564,-2.130169888336586,1.4600838389670416
TSLA,-4.36421469302436,2.1385025666005752,-4.995948060439592,-2.4958414304511622,1.4477240672633072
